Text,Normal,Toxic
เหี้ยเป็นสัตว์ที่มีความสำคัญต่อระบบนิเวศ,1,
ดอกไม้ในสวนบานเต็มเลย สวยมาก,1,
ขยะสังคมแบบมึง ไม่ควรมีที่ยืนในโลกนี้,,1
ไปลงนรกซะไป ไอ้พวกหน้าตัวเมีย,,1
รกโลกจริงๆ เลยพวกมึงเนี่ย,,1
สาระแนจริงๆ เรื่องคนอื่นเนี่ยเก่งนัก,,1
โง่เป็นควายแบบนี้ เกิดมาเสียชาติเกิด,,1
วันนี้รถติดจังเลย น่าจะไปทำงานสายแน่ๆ,1,
หนังเรื่องนี้สนุกมาก แนะนำให้ไปดูเลย,1,
วันนี้ดวงไม่ดีเลย ทำอะไรก็ติดขัดไปหมด,1,
มึงๆ วันนี้ไปกินหมูกระทะกันป่ะ กูหิวมาก,1,
โห เก่งจังวะ ทำได้ไงเนี่ย สอนหน่อยดิ,1,
สันดานแบบนี้ พ่อแม่ไม่สั่งสอนเหรอ,,1
หน้าตาก็ดีนะ แต่ปากหมาไปหน่อยว่ะ,,1
ร้อนชิบเป๋งเลยวันนี้ อยากอาบน้ำแข็ง,1,
พวกมึงมันน่าสมเพชจริงๆ ว่ะ กระจอก,,1
เชี้ยยย มึงทำได้ไงวะ โคตรเก่งเลยเพื่อน,1,
วันนี้กูเหนื่อยชิบหายเลยมึง งานเยอะมาก,1,
พ่อแม่ไม่สั่งสอนหรือไง กิริยาต่ำมาก,,1
ก็นึกว่าจะฉลาดกว่านี้เสียอีก ผิดหวังจริงๆ,,1
คนมีการศึกษาเขาไม่ทำกิริยาแบบนี้กันหรอกนะคะ,,1
พูดออกมาได้ยังไงคะ ไม่ได้ใช้สมองกลั่นกรองเลยเหรอ,,1
สภาพแบบคุณเนี่ยนะ จะมาเสนอหน้าทำเรื่องนี้,,1
แม่งเอ๊ย หนังเรื่องนี้สนุกชิบหายเลยว่ะ ต้องดูนะมึง,1,
ไม่เป็นไรนะมึง สู้ๆ เดี๋ยวทุกอย่างก็ผ่านไปเอง,1,
กูว่าแล้วว่ามึงต้องทำได้ ยินดีด้วยนะเว้ย,1,
วันนี้อากาศดีจังเลยครับ เหมาะกับการไปเดินเล่นในสวน,1,
ขอให้มีความสุขในวันเกิดนะ สุขภาพแข็งแรงตลอดไป,1,
พร่องตายเหรอ ขับรถปาดหน้าคนอื่นแบบนี้,,1
ไอ้ควัย มรึงพิมพ์ภาษาพ่องมรึงเหรอ,,1
